date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:52	83981/83981	---M-Z	200	added ('OK')	text/css	date:Mon,%2022%20Nov%202021%2021:02:51%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	(from https://www.hexadivinosdelivery.site/)
13:35:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2016:35:53%20GMT	http://www.hexadivinosdelivery.site/cdn/shop/t/2/assets/custom.js?v=165930397078196874451780917605	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/www.hexadivinosdelivery.site/cdn/shop/t/2/assets/custom6792.js	(from https://www.hexadivinosdelivery.site/)
13:35:53	89/89	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2012%20Jun%202026%2008:55:58%20GMT	https://www.hexadivinosdelivery.site/cdn/shop/t/2/assets/custom.js?v=165930397078196874451780917605	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/www.hexadivinosdelivery.site/cdn/shop/t/2/assets/custom6792.js	(from https://www.hexadivinosdelivery.site/)
13:35:53	8667/8667	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2001%20Jul%202026%2016:35:54%20GMT	https://www.hexadivinosdelivery.site/checkouts/internal/preloads.js?locale=pt-BR	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/www.hexadivinosdelivery.site/checkouts/internal/preloads4c33.js	(from https://www.hexadivinosdelivery.site/)
13:35:53	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2016:35:54%20GMT	http://www.hexadivinosdelivery.site/cdn/shopifycloud/shop-js/modules/v2/loader.init-shop-cart-sync.pt-BR.esm.js	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/www.hexadivinosdelivery.site/cdn/shopifycloud/shop-js/modules/v2/loader.init-shop-cart-sync.pt-BR.esm.js	(from https://www.hexadivinosdelivery.site/)
13:35:53	893/893	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2001%20Jul%202026%2016:16:43%20GMT	https://www.hexadivinosdelivery.site/cdn/shopifycloud/shop-js/modules/v2/loader.init-shop-cart-sync.pt-BR.esm.js	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/www.hexadivinosdelivery.site/cdn/shopifycloud/shop-js/modules/v2/loader.init-shop-cart-sync.pt-BR.esm.js	(from https://www.hexadivinosdelivery.site/)
13:35:54	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2016:35:55%20GMT	http://www.hexadivinosdelivery.site/cdn/shopifycloud/storefront/assets/storefront/load_feature-1bd60354.js	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/www.hexadivinosdelivery.site/cdn/shopifycloud/storefront/assets/storefront/load_feature-1bd60354.1e.delayed	(from https://www.hexadivinosdelivery.site/)
13:35:54	9652/9652	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2011%20Jun%202026%2010:13:31%20GMT	https://cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	(from https://www.hexadivinosdelivery.site/)
13:35:54	13938/13938	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2009%20Jun%202026%2005:32:10%20GMT	https://www.hexadivinosdelivery.site/cdn/shopifycloud/storefront/assets/storefront/load_feature-1bd60354.js	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/www.hexadivinosdelivery.site/cdn/shopifycloud/storefront/assets/storefront/load_feature-1bd60354.js	(from https://www.hexadivinosdelivery.site/)
13:35:55	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2016:35:55%20GMT	http://www.hexadivinosdelivery.site/cdn/shopifycloud/storefront/assets/storefront/autosizes-84416378.js	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/www.hexadivinosdelivery.site/cdn/shopifycloud/storefront/assets/storefront/autosizes-84416378.js	(from https://www.hexadivinosdelivery.site/)
13:35:55	3327/3327	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2023%20Jun%202026%2000:24:36%20GMT	https://www.hexadivinosdelivery.site/cdn/shopifycloud/storefront/assets/storefront/autosizes-84416378.js	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/www.hexadivinosdelivery.site/cdn/shopifycloud/storefront/assets/storefront/autosizes-84416378.js	(from https://www.hexadivinosdelivery.site/)
13:35:55	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2016:35:56%20GMT	http://cdn.shopify.com/shopifycloud/storefront/assets/storefront/origin_trials-5059b83f.js	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/cdn.shopify.com/shopifycloud/storefront/assets/storefront/origin_trials-5059b83f.22.delayed	(from https://www.hexadivinosdelivery.site/)
13:35:55	1392/1392	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2029%20Jun%202026%2014:10:33%20GMT	https://cdn.shopify.com/shopifycloud/storefront/assets/storefront/origin_trials-5059b83f.js	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/cdn.shopify.com/shopifycloud/storefront/assets/storefront/origin_trials-5059b83f.js	(from https://www.hexadivinosdelivery.site/)
13:35:55	397060/397060	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2001%20Jul%202026%2016:33:42%20GMT	https://www.hexadivinosdelivery.site/cdn/shopifycloud/portable-wallets/latest/portable-wallets.pt-br.js	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/www.hexadivinosdelivery.site/cdn/shopifycloud/portable-wallets/latest/portable-wallets.pt-br.js	(from https://www.hexadivinosdelivery.site/)
